product_id;sku;ean;name;3 (cm);5  x 16 x 16 (cm);5 (cm);"5 (cm)
Jajko";"5 (cm)
Karty";"5 (cm)
helikopter";"5 (cm)
Łyżka do krojenia";5 x 16 (cm);5 x 19 x 15 (cm);"5 x 2 (cm)
Koszyczek";5 x 27 x 14 (cm);5 x 27 x 18 (cm);5 x 31 x 41 (cm);5 x 45 x 4 (cm);5 x 5 (cm);5 x 8 x 12 (cm);"5 x 8 x 5 (cm)
Książeczka";5 x 9 x 34 (cm);8 (cm);9 kg;Ciche koła;Dopuszczalne obciążenie;Długość;Efekty;GPSR;Ilości kartonowe;Interaktywna;Licencja;Materiał;Materiał wykonania;Osoba odpowiedzialna;Pasujące do;Pompowane koła;Produkt wprowadzony do obrotu na terenie UE przed 13.12.2024;Płeć;Szerokość;Typ;Waga;Wiek;Wymiary opakowania;Wymiary produktu;Wysokość;Wzrost;kolory;Średnica;świetlne
212543063;44503;6971608445033;Drewniany Edukacyjny Sorter Gra Zwierzątka Owoce Warzywa Montessori;;;;;;;;;;;;;;;;;;;;;;;;;Ningbo Viga International Co., Ltd. | 20F.588 CANGHAI ROAD, 315040 NINGBO, CHINA | sales@vigatoys.com;Tak;;;drewno;Drewno;IBTK Kozicka Sp. Komandytowa | ul. Południowa 29A, 05-540 Jeziórko, Polska | ibtk@ibtk.pl;;;Tak;chłopiec/dziewczynka;;;;od 3 lat;;29;;;wielokolorowy;;
212543066;40826;5904326940826;WOOPIE BABY Interaktywny Pluszak Przytulanka dla Niemowląt Światło Dźwięk Piesek Usypiacz;;;;;;;;;;;;;;;;;;;;;;;;;WOOPIE Kozicka Sp.Komandytowa | ul.Południowa 29A 05-540 Jeziórko, Polska | woopie@woopie.toys;Tak;;;tworzywo sztuczne;;Producent z siedzibą w UE;;;Tak;chłopiec/dziewczynka;;;;od urodzenia;23 x 14;24 x 20 x 12 (cm);;;;;
212543068;40307;5904326940307;WOOPIE Zestaw Małego Łucznika Łuk Strzały Tarcza  12el.;;;;;;;;;;;;;;;;;;;;;;;;;WOOPIE Kozicka Sp.Komandytowa | ul.Południowa 29A 05-540 Jeziórko, Polska | woopie@woopie.toys;Tak;;;tworzywo sztuczne;;WOOPIE Kozicka Sp. Komandytowa  | ul. Południowa 29A  05-540 Jeziórko, Polska  | woopie@woopie.toys ;;;Tak;chłopiec/dziewczynka;;;;od 3 lat;;;;;;;
212543069;42639;5904326942639;WOOPIE BABY Interaktywny Pluszak Przytulanka dla Niemowląt Światło Dźwięk Byczek Gryzak Usypiacz;;;;;;;;;;;;;;;;;;;;;;;;;WOOPIE Kozicka Sp.Komandytowa | ul.Południowa 29A 05-540 Jeziórko, Polska | woopie@woopie.toys;Tak;;;;Inne;WOOPIE Kozicka Sp. Komandytowa  | ul. Południowa 29A  05-540 Jeziórko, Polska  | woopie@woopie.toys ;;;Tak;chłopiec/dziewczynka;;;;od urodzenia;15 x 10 x 23 (cm);16 x 12 x 26 (cm);;;różowy;;
212543070;42547;5904326942547;WOOPIE BABY Zabawka Pluszowa Sensoryczna Piszczek;;;;;;;;;;;;;;;;;;;;;;;;dzwiękowe;;;;;;Inne;;;;Tak;chłopiec/dziewczynka;;;;od urodzenia;7 x 7 x 17 (cm);9 x 6 x 15 (cm);;;;;
212543073;ME14887;6955920014887;MASTERKIDZ Osłonka na Baterię;;;;;;;;;;;;;;;;;;;;;;;;;Carpenters Manufactory Limited | Huang Jin Ji Industrial zone, Shang Jie Village, Qi Shi Town, Dong Guan City, Guang Dong Province, China | mkt8@masterkidz.com;Tak;;;tworzywo sztuczne;;IBTK Kozicka Sp. Komandytowa | ul. Południowa 29A, 05-540 Jeziórko, Polska | ibtk@ibtk.pl;;;Tak;chłopiec/dziewczynka;;;;;21;20 x 9 x 9 (cm);;;;;
212543074;400;3016200004004;FALK Jeździk Motocykl Street Champion Czerwony 1-3 lat;;;;;;;;;;;;;;;;;;;;;Tak;do 30 kg;;dźwiękowe;Plastiques Falquet & Cie 22 rue Jean Mermoz, 01100 OYONNAX , France | contact@falquet.fr;;;;tworzywo sztuczne;;Producent z siedzibą w UE;;;Tak;chłopiec/dziewczynka;;;3 (kg);od 12 miesięcy;64 x 21 x 33 (cm);62 x 26 x 39 (cm);;;czerwony;;
212543077;50339;6934510503390;VIGA Tabliczki Magnetyczne Nauka Pisania Cyferki Certyfikat FSC Montessori;;;;;;;;;;;;;;;;;;;;;;;;;Ningbo Viga International Co., Ltd. | 20F.588 CANGHAI ROAD, 315040 NINGBO, CHINA | sales@vigatoys.com;Tak;;;;;IBTK Kozicka Sp. Komandytowa | ul. Południowa 29A, 05-540 Jeziórko, Polska | ibtk@ibtk.pl;;;Tak;;;;;od 3 lat;;18 x 11;;;;;
212543079;MK07223;6955920007223;MASTERKIDZ Centrum Ratunkowe Bezpieczeństwa W Plecaku;;;;;;;;;;;;;;;;;;;;;;;;;Carpenters Manufactory Limited | Huang Jin Ji Industrial zone, Shang Jie Village, Qi Shi Town, Dong Guan City, Guang Dong Province, China | mkt8@masterkidz.com;Tak;;;;;IBTK Kozicka Sp. Komandytowa | ul. Południowa 29A, 05-540 Jeziórko, Polska | ibtk@ibtk.pl;;;Tak;;;;2;od 3 lat;33;22x12x21 (cm);;;;;
212543080;MK00996;6955920000996;MASTERKIDZ Zestaw Małej Stylistki Studio Piękności Z Torbą;;;;;;;;;;;;;;;;;;;;;;;;;;;;;drewno;;;;;Tak;dziewczynka;;;0,8 kg;od 3 lat;28 x 10 x 22,5 (cm);24,5 x 9,5 x 19,5 (cm);;;wielokolorowy;;
