product_id;sku;ean;name;Apple Pencil;Bohater;Częstotliwość próbkowania;DPI;Długość;Długość [mm];Funkcjonalność;GPSR;GPSR Source;Grubość [mm];Inne;Instrukcja;Kabel w zestawie;Kolor bazowy;Kolor dodatkowy;Kompatybilność;Kąt świecenia;Liczba przycisków;Liczba ładowanych urządzeń;MagSafe;Materiał dodatkowy;Materiał główny;Mikrofon;Moc;Mocowanie/trzonek;Możliwość ściemniania;Napięcie;Ochrona ekranu w zestawie;Oznaczenie;Podświetlenie;Pojemność;Pojemność (mAh);Pojemność (ml);Pojemność pamięci;Prędkość odczytu (maks.);Prędkość zapisu (maks.);Rodzaj;Rodzaj etui;Rodzaj szkla;Rodzaj szkła;Sensor;Skuteczność świetlna [lm/w];Strumień [lm];Szerokość [mm];Temp. światła;Typ słuchawek;WWW;WWW1;Waga;Wbudowana pamięć;Wiek dziecka;Wymiary;Wysokość [mm];Wzór;Zużycie energii;Zwierzak;Złącze;Żywotność
212547476;460774;6950941460774;Etui iPhone X skórzane Czarne;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;czarny;przezroczysty;Apple iPhone X;;;;;;TPU (termoplastyczny poliuretan);;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;Inny;;;;
212547477;460781;6950941460781;Etui iPhone X szare;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;szary;przezroczysty;Apple iPhone X;;;;;;TPU (termoplastyczny poliuretan);;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;Inny;;;;
212547478;460866;6950941460866;Etui iPhone X Czarny;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;czarny;przezroczysty;Apple iPhone X;;;;;Silikon;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;Inny;;;;
212547479;DLST-IPHX-TLBK;888488284378;Etui iPhone X Morskie;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;morski;czarny;Apple iPhone X;;;;;Silikon;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;Inny;;;;
212547481;GLST-IPHX-BF;888488285788;Etui iPhone X;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;złoty;biały;Apple iPhone X;;;;;;;;;;;;;;;;;;;;;;Plecki;;;;;;;;;;;;;;;;Inny;;;;
212547482;W2-DESKM-01SI-EU;3830058392416;Ładowarka indukcyjna na biurko srebrna aluminiowe;;;;;;;;;;;;;;srebrny;;Apple iPhone X;;;1;;;Aluminium;;7.5 W;;;;;;;;;;;;;;;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=aMPwqQE_MU8"" target=""_blank"">www.youtube.com/watch?v=aMPwqQE_MU8</a>";;;;;;;;;;;
212547483;BFM1314-BK;8020252076822;Pokrowiec na laptopa czarne15 cali;;;;;;;ochrona całego urządzenia;Tucano Srl Piazza Castello, 19 - 20121 Milano  -  Italy , tucanosrlmi@legalmail.it, +39.02.252010.1  ;;;;;;czarny;;"Apple MacBook Pro 13"" Retina M1";;;;;;Neopren;;;;;;;;;;;;;;;;;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=RuTnw-otBbM"" target=""_blank"">www.youtube.com/watch?v=RuTnw-otBbM</a>";;;;;34 x 24,5 x 3 cm;;Gładki;;;;
212547484;BFM1314-B;8020252076792;Pokrowiec na laptopa Niebieski 15 cali;;;;;;;ochrona całego urządzenia;Tucano Srl Piazza Castello, 19 - 20121 Milano  -  Italy , tucanosrlmi@legalmail.it, +39.02.252010.1  ;;;;;;niebieski;;"Apple MacBook Pro 13"" Retina M1";;;;;;Neopren;;;;;;;;;;;;;;;;;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=RuTnw-otBbM"" target=""_blank"">www.youtube.com/watch?v=RuTnw-otBbM</a>";;;;;34 x 24,5 x 3 cm;;Gładki;;;;
212547485;BFM1314-RR;8020252077034;Pokrowiec na laptopa czerwone 15 cali;;;;;;;ochrona całego urządzenia;Tucano Srl Piazza Castello, 19 - 20121 Milano  -  Italy , tucanosrlmi@legalmail.it, +39.02.252010.1  ;;;;;;malinowy;;"Apple MacBook Pro 13"" Retina M1";;;;;;Neopren;;;;;;;;;;;;;;;;;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=RuTnw-otBbM"" target=""_blank"">www.youtube.com/watch?v=RuTnw-otBbM</a>";;;;;34 x 24,5 x 3 cm;;Gładki;;;;
212547486;BFM1516-Z;8020252077003;Pokrowiec na laptopa 16 cali;;;;;;;ochrona całego urządzenia;Tucano Srl Piazza Castello, 19 - 20121 Milano  -  Italy , tucanosrlmi@legalmail.it, +39.02.252010.1  ;;;;;;błękitny;;Apple MacBook Pro 16” (2021);;;;;;Neopren;;;;;;;;;;;;;;;;;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=RuTnw-otBbM"" target=""_blank"">www.youtube.com/watch?v=RuTnw-otBbM</a>";;;;;38,5 x 26,5 x 3,5 cm;;Gładki;;;;
212547488;IPH-1636-BLK;191058034083;Etui iPhone Xs;;;;;;147;ochrona tyłu i boków;Onward Brands LLC C/O Vanneste, Stationsstraat 82, B8552 Moen, Belgium, contact@onwardbrands.com;;;;;;czarny;przezroczysty;Apple iPhone Xs/X;;;;;;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;74;;;;;;;;;9;Kratka;;;;
212547489;99MO084102;4713057250200;USB C do DisplayPort 5K 60 fps srebrne aluminiowe;;;;;;;;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;biały;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5 m;;;;;;
212547490;EF-RG960CSEGWW;8801643105563;Etui Galaxy S9 Srebrne;;;;;;150;ochrona tyłu i boków;;;;;;;srebrny;;Samsung Galaxy S9;;;;;;Tworzywo sztuczne;;;;;;;;;;;;;;;;;;;;;;71;;;;;;;;;10;Inny;;;;
212547491;OBIPXSM-03;817390021887;Etui iPhone Xs Srebrne;;;;;;;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;srebrny;;Apple iPhone Xs/X;;;;;TPU;Polikarbon;;;;;;;;;;;;;;;;Plecki;;;;;;;;;"<a href=""http://www.youtube.com/watch?v=A14P80yTMV0"" target=""_blank"">www.youtube.com/watch?v=A14P80yTMV0</a>";;;;;;;Inny;;;;
212547492;GUCB154GB;3700740396605;Pokrowiec na laptopa brązowe 16 cali;;;;;;;ochrona całego urządzenia;CG Mobile France SAS, 39 Rue de Courcelles, 75008 Paris FR, customer@cg-mobile.com;;;;;;brązowy;;"Notebook 15""-16""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Inny;;;;
212547493;K181-1278;815387022152;Adapter USB C do VGA z zasilaniem aluminiowe 60w;;;;;;;;;;;;;;srebrny;;;;;;;;Aluminium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212547495;7631;8809550376311;Etui samsung Galaxy S9;;;;;;150;ochrona tyłu i boków;FORCETOP Sp. z o.o., Chotów 24B, 63-460 Chotów PL, office@forcetop.com, +48 625940000;;;;;;złoty;przezroczysty;Samsung Galaxy S9;;;;;TPU;Polikarbon;;;;;;;;;;;;;;;;;;;;;;71;;;;;;;;;10;Gładki;;;;
