product_id;sku;ean;name;Kod producenta
212560801;1000001;4260223021305;Frytkownica wolnostojąca elektryczna na szafce 400V 10L;1000001
212560802;1000002;4260223021237;Frytownica podwójna dwukomorowa z szafką 400V 2x10L;1000002
212560803;1000004;4250928686947;Frytownica podwójna dwukomorowa z kranami 400V 2x10L;1000004
212560804;1000006;4250928694973;Frytownica gastronomiczna nastawna elektryczna 10l 3200W;1000006
212560805;1000014;4250928695192;Frytownica elektryczna dwukomorowa Timer 2x9L;1000014
212560806;1000017;4250928686800;Bemar witryna grzewcza oszklona bufet podgrzewany 3xGN;1000017
212560807;1000020;4260223020285;Wózek kelnerski 3 półkowy ze stali nierdzewnej;1000020
212560808;1000021;4250928695215;Grill podwójny elektryczna płyta grillowa 60cm;1000021
212560809;1000023;4260223020346;Grill podwójny duży na prąd 230V 75cm;1000023
212560810;1000024;4260223020834;Grill podwójny duży ryflowany 75cm;1000024
212560811;1000026;4260223020360;Grill elektryczny 230V podwójny duży ryflowany 100cm;1000026
212560813;1000027;4260223020513;Toster opiekacz salamander do zapiekanek 300deg C 3250W;1000027
212560815;1000028;4260223020520;Toster Podwójny opiekacz salamander 3250W;1000028
212560818;1000029;4260223021213;Wózek kelnerski 2 półkowy za stali nierdzewnej;1000029
212560819;1000030;4260223021220;Wózek stalowy kelnerski 2 półkowy z głębokimi półkami;1000030
212560820;1000031;4260223023187;Mobilna maszyna do waty cukrowej z wózkiem;1000031
212560821;1000032;4260223025013;Pokrywa ochronna;1000032
212560822;1000033;4260223022760;Maszyna do waty cukrowej z pokrywą ochronną 52cm;1000033
212560823;1000034;4260223022555;Barowa maszyna do popcornu z czarnym daszkiem;1000034
212560824;1000035;4260223022562;Barowa maszyna do popcornu z czerwonym daszkiem;1000035
212560825;1000036;4260223025785;Mobilna maszyna do popcornu z wózkiem na kółkach;1000036
212560826;1000040;4260223022319;Grill podwójny gładki gazowy na gaz Lpg;1000040
212560827;1000045;4260223025051;Smażalnik do pączków lub ryb z półką Dwa Kosze 24L;1000045
212560828;1000046;4260223025372;Zapasowy kosz do frytownic elektrycznych 21x17 x 12cm;1000046
212560829;1000047;4260223025389;Zapasowy kosz do frytownic elektrycznych 22x20 x 10cm;1000047
212560830;1000048;4260223025396;Zapasowy kosz do frytownic elektrycznych 25x23 x 12cm;1000048
212560831;1000049;4260223025402;Zapasowy kosz do frytownic elektrycznych 22x21 x 12cm;1000049
212560832;1000051;4260223025327;Mobilna maszyna do waty cukrowej z wózkiem na kółkach Duża;1000051
212560833;1000053;4250928695017;Witryna grzewcza ekspozycyjna 850W szerokość 35,5cm;1000053
212560834;1000055;4260223025297;Maszyna do waty cukrowej na prąd bez pokrywy;1000055
212560835;1000056;4260223025303;Mobilna maszyna do waty cukrowej bez pokrywy na kółkach;1000056
212560836;1000057;4260223025624;Krajalnica szatkownica elektryczna do warzyw owoców 5 Tarcz;1000057
212560837;1000066;4250928695086;Podgrzewacz do parówek Hot Dog 800W;1000066
212560838;1000067;4250928695093;Wodny podgrzewacz do parówek bułek Hot Dog 2x300W;1000067
212560839;1000068;4260223027178;Ręczna maszynka praska do hamburgerów śr. 130mm;1000068
212560840;1000070;4250928694904;Ręczna krajalnica do pomidorów HoReCa wyposażenie hoteli;1000070
212560841;1000073;4250928652379;Kuchenna szatkownica kuter elektryczny robot kuchenny misa 9L;1000073
212560842;1000074;4250928652386;Kuchenna szatkownica kuter elektryczny robot kuchenny misa 6L;1000074
212560843;1000075;4260223027222;Piła Elektryczna profesjonalna do kości mięsa Royal Catering;1000075
212560844;1000076;4260223025495;Krajalnica elektryczna sklepowa do wędlin sera Pro 220mm;1000076
212560845;1000077;4260223025501;Krajalnica elektryczna do sklepu wędliny ser Pro 250mm;1000077
212560846;1000078;4260223025518;Krajalnica elektryczna do wędlin sera Pro 300mm;1000078
212560847;1000079;4260223025525;Krajalnica elektryczna do wędlin sera Expert 250mm;1000079
212560848;1000081;4260223025549;Wilk do mięsa maszynka gastronomiczna 120 Pro 850W;1000081
212560849;1000082;4260223025556;Wilk do mięsa maszynka gastronomiczna 220 Pro 1000W;1000082
212560850;1000083;4250928699787;Wilk do mięsa maszynka gastronomiczna 220 Expert 1000W;1000083
212560851;1000085;4260223026560;Stalowa szafka ścienna z przesuwanymi drzwiczkami szerokość 120cm;1000085
212560852;1000126;4260223027260;Szafka ścienna stalowa z przesuwanymi drzwiczkami szer. 160cm;1000126
